timestamp,username,device,source_ip,status
2026-09-06T09:00:00Z,alice,warehouse-pc-01,192.0.2.10,failed
2026-09-06T09:01:00Z,alice,warehouse-pc-01,192.0.2.10,failed
2026-09-06T09:02:00Z,alice,warehouse-pc-01,192.0.2.10,failed
2026-09-06T09:03:00Z,alice,warehouse-pc-01,192.0.2.10,success
2026-09-06T10:00:00Z,bob,office-pc-02,192.0.2.20,failed
2026-09-06T10:01:00Z,bob,office-pc-02,192.0.2.20,success
2026-09-06T11:00:00Z,charlie,dispatch-pc-03,192.0.2.30,failed
2026-09-06T11:10:00Z,charlie,dispatch-pc-03,192.0.2.30,failed
2026-09-06T11:20:00Z,charlie,dispatch-pc-03,192.0.2.30,failed
2026-09-06T11:21:00Z,charlie,dispatch-pc-03,192.0.2.30,success
